checkpoint,arch,method,seed,domain,n_samples,source_T,raw_accuracy,raw_nll,raw_brier,raw_ece,raw_adaptive_ece,raw_classwise_ece,sourcets_accuracy,sourcets_nll,sourcets_brier,sourcets_ece,sourcets_adaptive_ece,sourcets_classwise_ece,oracle_T,oraclets_accuracy,oraclets_nll,oraclets_brier,oraclets_ece,oraclets_adaptive_ece,oraclets_classwise_ece
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_fog_sev3,10000,1.3811187744140625,0.9137,0.34068277,0.13878733332977114,0.05137228733003142,0.05113116860389709,0.011493844358336646,0.9137,0.28879863,0.1311996701501263,0.02842955232411624,0.02712475762367249,0.008520652095684781,1.483640193939209,0.9137,0.28487912,0.12986682741269295,0.020360524219274482,0.020104118138551716,0.008118708229549227
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_fog_sev4,10000,1.3811187744140625,0.8839,0.46994683,0.1884996424530364,0.06851854219436643,0.06827787432074549,0.016117639171315822,0.8839,0.39538637,0.17809018862080514,0.03882074743807317,0.03814865832328797,0.012345556793557479,1.5378003120422363,0.8839,0.3861368,0.17537177944448523,0.022373084926605252,0.02287825282216073,0.011769894694874529
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_fog_sev5,10000,1.3811187744140625,0.7082,1.2265768,0.4586396168104804,0.17766012002825735,0.17766007398366931,0.04213812533061136,0.7082,1.0050639,0.4272698052178741,0.12305097063481804,0.12305097054839133,0.035254550374476244,1.8062245845794678,0.7082,0.92499363,0.4064652249752293,0.05180001166909931,0.051585280963778506,0.03104999460549094
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_frost_sev1,10000,1.3811187744140625,0.8941,0.39459696,0.1634764517084162,0.059953712093830075,0.05988093948960303,0.013588714696113603,0.8941,0.33794916,0.15429499155107623,0.03190142341852184,0.033045844322443015,0.01033387641013018,1.4800934791564941,0.8941,0.33386493,0.15279860971369966,0.022247760480642288,0.02487741948962213,0.009894925713941922
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_frost_sev2,10000,1.3811187744140625,0.8412,0.64678574,0.2512684683560189,0.09558067598938944,0.09534855884909631,0.022204237807762695,0.8412,0.537854,0.23598402208392946,0.05994784245491025,0.05947722258567809,0.01832744155112421,1.6167171001434326,0.8412,0.51639885,0.2301366306447976,0.031060672926902774,0.033894385433197026,0.01711557053235825
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_frost_sev3,10000,1.3811187744140625,0.7468,1.1257722,0.40487295720759936,0.16055992147326464,0.16055989258289338,0.03827574548177246,0.7468,0.91253984,0.3788763083581905,0.11335380254238844,0.1133538551568985,0.033057074622567746,1.8201065063476562,0.7468,0.83206755,0.3607603217666664,0.0469056517660618,0.0460699215322733,0.029599217601511622
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_frost_sev4,10000,1.3811187744140625,0.7271,1.2417433,0.4407031568258631,0.17662558669298883,0.1766256568729877,0.04274737517538946,0.7271,1.0003482,0.4120264412416898,0.127738232152164,0.12771439577341082,0.03785865433625178,1.8710424900054932,0.7271,0.89899415,0.3893956580449868,0.04970329614132642,0.049703295210003856,0.03399290102463681
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_frost_sev5,10000,1.3811187744140625,0.6128,1.8931664,0.6341465618576707,0.26810623823106283,0.2681062355935574,0.06270681378159323,0.6128,1.4925513,0.590045528978252,0.21111917713582512,0.21111919839680193,0.05611515048987466,2.1265926361083984,0.6128,1.2471837,0.5343132775653386,0.07945579028427602,0.07945580619275569,0.04752388355110772
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_gaussian_noise_sev1,10000,1.3811187744140625,0.7725,0.96829265,0.3671574505975195,0.14580316975712776,0.1458031851828098,0.035967903330022824,0.7725,0.7882524,0.34304362220740275,0.10168945412933825,0.10158577771186829,0.031782845228547234,1.7526274919509888,0.7725,0.73066795,0.3280644280912561,0.04623639328628775,0.04674258918464184,0.030815757199279037
resnet18_denseft_s0,resnet18,denseft,0,cifar10c_gaussian_noise_sev2,10000,1.3811187744140625,0.5305,2.3590813,0.7859664282776017,0.3506994223296642,0.350653255969286,0.081722117051814,0.5305,1.828277,0.7327018697089536,0.29319569766074416,0.29282866567373284,0.07599422766257544,2.3051509857177734,0.5305,1.4394237,0.6391559542304226,0.12366630548536775,0.12346209181845187,0.06119719007983804
